Zip,Population,Count,Density,Region
22151,17017,46,27.0318,Northern VA - East/Central
22152,28814,69,23.9467,Northern VA - East/Central
22153,32664,48,14.6951,Northern VA - East/Central
22172,11490,14,12.1845,Northern VA - East/Central
22180,26568,193,72.6438,Northern VA - East/Central
22181,15760,46,29.1878,Northern VA - East/Central
22182,27783,332,119.4975,Northern VA - East/Central
22191,73623,200,27.1654,Northern VA - East/Central
22192,59794,236,39.4688,Northern VA - East/Central
22193,81588,310,37.9958,Northern VA - East/Central
22201,37473,638,170.2559,Northern VA - Arlington
22202,27715,200,72.1631,Northern VA - Arlington
22203,26594,260,97.7664,Northern VA - Arlington
22204,51921,183,35.2459,Northern VA - Arlington
22205,17738,96,54.1211,Northern VA - Arlington
22206,20703,109,52.6494,Northern VA - Arlington
22207,35479,307,86.5301,Northern VA - Arlington
22209,14154,244,172.3894,Northern VA - Arlington
22211,947,8,84.4773,Northern VA - Arlington
22213,4021,21,52.2258,Northern VA - Arlington
22301,13665,413,302.232,Northern VA - Alexandria
22302,18026,149,82.6584,Northern VA - Alexandria
22303,16922,70,41.3663,Northern VA - Alexandria
22304,48613,223,45.8725,Northern VA - Alexandria
22305,17214,66,38.3409,Northern VA - Alexandria
22306,30602,70,22.8743,Northern VA - Alexandria
22307,10343,70,67.6786,Northern VA - Alexandria
22308,14090,31,22.0014,Northern VA - Alexandria
22309,34316,40,11.6564,Northern VA - Alexandria
22310,28136,108,38.385,Northern VA - Alexandria
22311,19337,41,21.2029,Northern VA - Alexandria
22312,26768,85,31.7543,Northern VA - Alexandria
22314,36612,829,226.4285,Northern VA - Alexandria
22315,30404,67,22.0366,Northern VA - Alexandria
22401,28731,227,79.0087,Other
22405,36890,68,18.4332,Other
22406,27367,48,17.5394,Other
22407,65425,116,17.7302,Other
22408,31586,57,18.046,Other
22427,4356,3,6.8871,Other
22432,256,1,39.0625,Other
22433,111,0,0.0,Other
22435,2215,0,0.0,Other
22436,791,0,0.0,Other
22437,582,0,0.0,Other
22438,252,0,0.0,Other
22443,10011,2,1.9978,Other
22448,765,0,0.0,Other
22454,2290,0,0.0,Other
22460,1757,0,0.0,Other
22469,1967,0,0.0,Other
22472,960,0,0.0,Other
22473,5498,2,3.6377,Other
22476,224,0,0.0,Other
22480,898,3,33.4076,Other
22482,3075,2,6.5041,Other
22485,27131,17,6.2659,Other
22488,1367,1,7.3153,Other
22503,4296,10,23.2775,Other
22504,227,0,0.0,Other
22508,15557,9,5.7852,Other
22509,74,0,0.0,Other
22511,1239,0,0.0,Other
22514,2290,1,4.3668,Other
22520,4740,2,4.2194,Other
22529,200,0,0.0,Other
22534,3290,0,0.0,Other
22535,460,1,21.7391,Other
22538,348,0,0.0,Other
22539,2074,0,0.0,Other
22542,2418,0,0.0,Other
22546,18392,20,10.8743,Other
22548,115,0,0.0,Other
22551,24146,35,14.4952,Other
22553,17207,38,22.084,Other
22554,65494,222,33.8962,Other
22556,31785,27,8.4946,Other
22560,6612,8,12.0992,Other
22567,2717,0,0.0,Other
22572,6597,3,4.5475,Other
22576,1427,0,0.0,Other
22578,2353,2,8.4998,Other
22580,5107,0,0.0,Other
22601,29230,109,37.2905,Other
22602,32840,96,29.2326,Other
22603,17133,26,15.1754,Other
22610,2113,2,9.4652,Other
22611,9276,25,26.9513,Other
22620,2825,1,3.5398,Other
22623,641,0,0.0,Other
22624,3416,1,2.9274,Other
22625,3376,0,0.0,Other
22627,945,1,10.582,Other
22630,35615,40,11.2312,Other
22637,1933,0,0.0,Other
22639,606,0,0.0,Other
22640,556,1,17.9856,Other
22641,165,3,181.8182,Other
22642,3933,4,10.1704,Other
22643,137,0,0.0,Other
22644,2561,0,0.0,Other
22645,4639,1,2.1556,Other
22650,1007,0,0.0,Other
22652,1625,0,0.0,Other
22654,1040,1,9.6154,Other
22655,22687,33,14.5458,Other
22656,5360,2,3.7313,Other
22657,12067,6,4.9722,Other
22660,1468,1,6.812,Other
22663,1705,1,5.8651,Other
22664,9293,11,11.8369,Other
22701,38512,73,18.9551,Other
22709,920,0,0.0,Other
22711,139,0,0.0,Other
22712,9501,4,4.2101,Other
22713,1489,0,0.0,Other
22714,946,0,0.0,Other
22715,1552,0,0.0,Other
22716,1200,0,0.0,Other
22718,826,0,0.0,Other
22719,348,0,0.0,Other
22720,1497,0,0.0,Other
22722,448,0,0.0,Other
22723,52,0,0.0,Other
22724,2518,2,7.9428,Other
22725,99,0,0.0,Other
22726,660,0,0.0,Other
22727,5742,5,8.7078,Other
22728,3752,0,0.0,Other
22729,1148,0,0.0,Other
22730,336,0,0.0,Other
22731,70,0,0.0,Other
22732,262,0,0.0,Other
22733,1711,0,0.0,Other
22734,3918,1,2.5523,Other
22735,1628,1,6.1425,Other
22736,844,2,23.6967,Other
22737,3465,6,17.316,Other
22738,928,5,53.8793,Other
22740,1179,3,25.4453,Other
22741,421,0,0.0,Other
22742,1596,0,0.0,Other
22743,276,0,0.0,Other
22746,539,0,0.0,Other
22747,967,6,62.0476,Other
22749,244,0,0.0,Other
22801,39983,206,51.5219,Other
22802,30374,75,24.6922,Other
22807,5347,21,39.2744,Other
22810,532,0,0.0,Other
22811,316,0,0.0,Other
22812,10660,16,15.0094,Other
22815,8465,16,18.9014,Other
22820,118,0,0.0,Other
22821,6116,3,4.9052,Other
22824,6596,2,3.0321,Other
22827,10529,3,2.8493,Other
22830,2209,0,0.0,Other
22831,352,0,0.0,Other
22832,1136,0,0.0,Other
22834,956,1,10.4603,Other
22835,11314,9,7.9547,Other
22840,5239,3,5.7263,Other
22841,3090,2,6.4725,Other
22842,5580,2,3.5842,Other
22843,2697,0,0.0,Other
22844,4677,7,14.9669,Other
22845,48,0,0.0,Other
22846,1496,1,6.6845,Other
22847,1054,0,0.0,Other
